City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Blair,IN,2020-08-25 21:40:16,11.67,92.75,81.01,80,91,8.59
1,Lebu,CL,2020-08-25 21:40:15,-37.62,-73.65,52.43,77,0,17.78
2,Kapaa,US,2020-08-25 21:37:38,22.08,-159.32,86.0,66,40,11.41
3,Qaanaaq,GL,2020-08-25 21:37:24,77.48,-69.36,36.64,88,100,8.66
4,Biak,ID,2020-08-25 21:40:17,-0.91,122.88,75.43,83,78,8.21
5,Novyy Yegorlyk,RU,2020-08-25 21:40:17,46.39,41.87,65.53,44,0,10.09
6,Cape Town,ZA,2020-08-25 21:40:17,-33.93,18.42,57.99,93,75,11.41
7,Rio Verde De Mato Grosso,BR,2020-08-25 21:40:17,-18.92,-54.84,89.67,22,35,4.52
8,Rikitea,PF,2020-08-25 21:37:32,-23.12,-134.97,69.78,73,0,6.85
9,Arraial Do Cabo,BR,2020-08-25 21:40:18,-22.97,-42.03,68.0,68,75,11.41
10,Brigantine,US,2020-08-25 21:40:18,39.41,-74.36,89.6,55,1,12.75
11,Nara,JP,2020-08-25 21:40:10,34.69,135.8,82.0,83,40,5.82
12,Rocha,UY,2020-08-25 21:40:18,-34.48,-54.33,60.28,80,100,10.25
13,Ushuaia,AR,2020-08-25 21:40:18,-54.8,-68.3,42.8,56,40,6.04
14,Ndele,CF,2020-08-25 21:40:18,8.41,20.65,70.72,97,100,4.14
15,Mataura,NZ,2020-08-25 21:40:19,-46.19,168.86,39.31,84,75,5.37
16,Bandarbeyla,SO,2020-08-25 21:40:19,9.49,50.81,76.08,84,41,30.29
17,Bluff,NZ,2020-08-25 21:37:26,-46.6,168.33,44.78,75,82,17.13
18,Mayo,US,2020-08-25 21:40:19,38.89,-76.51,90.0,55,1,6.93
19,Taldan,RU,2020-08-25 21:40:19,53.67,124.8,50.32,97,99,3.74
20,Ribeira Grande,PT,2020-08-25 21:37:27,38.52,-28.7,75.2,94,75,8.05
21,Alofi,NU,2020-08-25 21:39:02,-19.06,-169.92,78.8,61,75,8.05
22,Hobart,AU,2020-08-25 21:36:26,-42.88,147.33,48.2,57,75,12.75
23,Saldanha,ZA,2020-08-25 21:40:20,-33.01,17.94,58.59,87,74,12.5
24,Magadan,RU,2020-08-25 21:40:20,59.57,150.8,51.31,57,100,7.61
25,Kangaatsiaq,GL,2020-08-25 21:37:45,68.31,-53.46,44.46,84,63,8.88
26,Wahpeton,US,2020-08-25 21:40:20,46.27,-96.61,86.0,66,1,12.75
27,Puerto Ayora,EC,2020-08-25 21:40:20,-0.74,-90.35,77.0,53,75,26.4
28,Nosy Varika,MG,2020-08-25 21:40:20,-20.58,48.53,66.43,91,56,4.43
29,Hermanus,ZA,2020-08-25 21:40:20,-34.42,19.23,55.0,94,96,10.56
30,Pacific Grove,US,2020-08-25 21:40:21,36.62,-121.92,75.99,60,40,8.05
31,Tupik,RU,2020-08-25 21:40:21,54.43,119.93,44.08,88,46,3.65
32,Faanui,PF,2020-08-25 21:37:46,-16.48,-151.75,76.3,81,35,18.5
33,Paamiut,GL,2020-08-25 21:40:21,61.99,-49.67,43.72,79,0,13.49
34,Norman Wells,CA,2020-08-25 21:40:21,65.28,-126.83,66.2,59,75,2.24
35,Malakal,SS,2020-08-25 21:40:22,9.53,31.66,74.05,87,100,2.89
36,Lahij,YE,2020-08-25 21:40:22,13.17,44.58,88.83,44,95,3.02
37,Butaritari,KI,2020-08-25 21:40:22,3.07,172.79,81.5,68,47,5.17
38,Saint-Georges,GD,2020-08-25 21:40:22,12.06,-61.75,86.0,74,20,17.22
39,Mar Del Plata,AR,2020-08-25 21:40:00,-38.0,-57.56,57.2,93,90,4.7
40,Saint-Philippe,RE,2020-08-25 21:40:22,-21.36,55.77,68.0,72,75,4.7
41,Kalmunai,LK,2020-08-25 21:38:55,7.42,81.82,78.31,84,100,8.43
42,Zhigansk,RU,2020-08-25 21:40:22,66.77,123.37,45.36,57,0,6.31
43,Kanigoro,ID,2020-08-25 21:40:23,-8.13,112.22,72.37,82,55,8.88
44,Punta Arenas,CL,2020-08-25 21:40:23,-53.15,-70.92,42.8,45,94,10.29
45,Mahina,PF,2020-08-25 21:40:23,-17.51,-149.49,82.4,65,75,2.24
46,Victoria,HK,2020-08-25 21:39:37,22.29,114.16,86.0,87,92,11.01
47,Upernavik,GL,2020-08-25 21:40:23,72.79,-56.15,42.26,88,100,4.83
48,Oktyabrskiy,RU,2020-08-25 21:40:23,54.48,53.47,57.4,93,18,2.21
49,Vaini,TO,2020-08-25 21:40:17,-21.2,-175.2,77.0,83,20,3.36
50,Bambous Virieux,MU,2020-08-25 21:40:23,-20.34,57.76,71.01,88,75,11.41
51,Jamestown,US,2020-08-25 21:36:31,42.1,-79.24,77.0,57,75,11.41
52,Thompson,CA,2020-08-25 21:40:24,55.74,-97.86,53.6,76,90,6.93
53,Tubuala,PA,2020-08-25 21:40:24,9.52,-79.03,80.6,78,75,12.75
54,Pangnirtung,CA,2020-08-25 21:40:24,66.15,-65.71,44.6,93,75,6.93
55,Port Alfred,ZA,2020-08-25 21:39:47,-33.59,26.89,60.98,73,0,18.61
56,Albany,US,2020-08-25 21:39:47,42.6,-73.97,78.01,73,40,12.75
57,Kuminskiy,RU,2020-08-25 21:40:24,58.67,66.57,57.85,98,100,5.68
58,Atuona,PF,2020-08-25 21:37:38,-9.8,-139.03,78.64,72,38,12.06
59,Saskylakh,RU,2020-08-25 21:40:25,71.92,114.08,51.17,63,44,8.03
60,Oranjestad,AW,2020-08-25 21:35:31,12.52,-70.03,87.8,66,1,24.16
61,Ilulissat,GL,2020-08-25 21:40:25,69.22,-51.1,42.8,75,40,4.7
62,Vestmannaeyjar,IS,2020-08-25 21:40:25,63.44,-20.27,52.07,78,68,8.72
63,Turayf,SA,2020-08-25 21:40:25,31.67,38.66,82.4,42,0,13.87
64,Kaitangata,NZ,2020-08-25 21:40:25,-46.28,169.85,46.0,61,45,7.0
65,Rockland,US,2020-08-25 21:40:25,41.17,-74.05,88.0,64,16,12.06
66,Starosubkhangulovo,RU,2020-08-25 21:40:26,53.1,57.44,58.46,82,82,3.74
67,Praia Da Vitoria,PT,2020-08-25 21:39:24,38.73,-27.07,77.0,78,40,12.46
68,Busselton,AU,2020-08-25 21:37:45,-33.65,115.33,45.0,76,50,1.79
69,Tual,ID,2020-08-25 21:40:26,-5.67,132.75,78.76,76,49,22.08
70,Woodward,US,2020-08-25 21:40:26,36.43,-99.39,95.0,23,1,8.05
71,San Patricio,MX,2020-08-25 21:37:59,19.22,-104.7,84.2,83,75,16.11
72,Mangrol,IN,2020-08-25 21:40:26,21.12,70.12,81.19,84,91,18.59
73,Barrow,US,2020-08-25 21:40:27,71.29,-156.79,39.2,93,90,6.93
74,New Norfolk,AU,2020-08-25 21:40:27,-42.78,147.06,46.99,81,100,5.01
75,Nanortalik,GL,2020-08-25 21:40:27,60.14,-45.24,46.15,83,6,6.53
76,Khatanga,RU,2020-08-25 21:37:50,71.97,102.5,53.51,71,50,3.94
77,Ulkan,RU,2020-08-25 21:40:27,57.24,107.32,48.09,79,0,1.88
78,Tuatapere,NZ,2020-08-25 21:40:27,-46.13,167.68,41.86,80,43,6.8
79,Nikolskoye,RU,2020-08-25 21:39:51,59.7,30.79,59.0,87,75,6.71
80,Saint Anthony,US,2020-08-25 21:40:28,45.02,-93.22,90.0,58,1,13.87
81,Westport,US,2020-08-25 21:40:28,41.14,-73.36,87.01,63,27,13.8
82,Sioux Lookout,CA,2020-08-25 21:40:28,50.1,-91.92,69.8,68,90,6.93
83,Tocopilla,CL,2020-08-25 21:40:28,-22.09,-70.2,63.37,62,14,8.72
84,Bethel,US,2020-08-25 21:35:29,41.37,-73.41,84.99,73,40,5.82
85,Aleppo,SY,2020-08-25 21:40:28,36.25,37.5,74.01,47,0,10.98
86,Chihuahua,MX,2020-08-25 21:40:28,28.5,-106.0,87.8,22,75,9.17
87,Meulaboh,ID,2020-08-25 21:40:29,4.14,96.13,75.74,86,79,3.96
88,Calabozo,VE,2020-08-25 21:40:29,8.92,-67.43,81.66,88,91,0.98
89,Grindavik,IS,2020-08-25 21:40:29,63.84,-22.43,46.4,81,75,6.93
90,Fernie,CA,2020-08-25 21:37:49,49.5,-115.07,78.8,27,75,12.75
91,Mocuba,MZ,2020-08-25 21:40:29,-16.84,36.99,72.18,78,62,2.08
92,Hilo,US,2020-08-25 21:40:29,19.73,-155.09,86.0,58,1,9.17
93,Geraldton,AU,2020-08-25 21:40:29,-28.77,114.6,44.6,93,0,3.36
94,Provideniya,RU,2020-08-25 21:40:30,64.38,-173.3,51.8,87,90,6.71
95,Sena Madureira,BR,2020-08-25 21:37:34,-9.07,-68.66,87.8,37,0,2.06
96,Kidal,ML,2020-08-25 21:40:30,18.44,1.41,91.53,39,31,11.72
97,Vao,NC,2020-08-25 21:37:57,-22.67,167.48,67.77,65,84,13.62
98,Sidi Ali,DZ,2020-08-25 21:40:30,36.1,0.42,74.62,63,0,0.65
99,Lensk,RU,2020-08-25 21:38:58,60.73,114.93,42.24,68,0,4.72
100,Katsuura,JP,2020-08-25 21:37:26,35.13,140.3,77.0,94,20,4.7
101,Churapcha,RU,2020-08-25 21:38:25,62.0,132.43,42.53,79,0,5.79
102,Cabo San Lucas,MX,2020-08-25 21:40:30,22.89,-109.91,91.4,52,5,5.82
103,Safford,US,2020-08-25 21:40:31,32.83,-109.71,100.4,15,1,11.27
104,Tiksi,RU,2020-08-25 21:40:31,71.69,128.87,39.13,82,3,10.96
105,Novaya Igirma,RU,2020-08-25 21:40:31,57.13,103.91,49.96,86,4,2.26
106,Acarau,BR,2020-08-25 21:39:21,-2.89,-40.12,76.17,79,0,11.21
107,Castro,BR,2020-08-25 21:40:32,-24.79,-50.01,52.25,90,0,7.07
108,Kharp,RU,2020-08-25 21:40:33,66.8,65.81,50.76,84,98,3.4
109,Padang,ID,2020-08-25 21:40:33,-0.95,100.35,77.31,72,97,4.45
110,Rundu,NA,2020-08-25 21:40:33,-17.93,19.77,61.74,29,0,3.74
111,Torbay,CA,2020-08-25 21:40:33,47.67,-52.73,60.01,82,75,16.11
112,Khanino,RU,2020-08-25 21:40:33,54.21,36.62,62.6,93,94,4.47
113,Nagybajom,HU,2020-08-25 21:40:33,46.39,17.51,62.6,93,0,1.12
114,Severo-Kurilsk,RU,2020-08-25 21:40:33,50.68,156.12,53.22,92,92,17.34
115,Bitung,ID,2020-08-25 21:40:34,1.45,125.18,73.4,94,20,2.24
116,Komsomolskiy,UZ,2020-08-25 21:40:34,40.43,71.72,71.6,56,20,4.7
117,Stornoway,GB,2020-08-25 21:40:34,58.21,-6.39,55.99,82,100,23.04
118,Hasaki,JP,2020-08-25 21:40:34,35.73,140.83,77.0,88,20,4.7
119,Kenai,US,2020-08-25 21:40:34,60.55,-151.26,59.0,82,90,6.93
120,Doha,QA,2020-08-25 21:40:26,25.29,51.53,93.2,32,33,4.7
121,Moengo,SR,2020-08-25 21:40:34,5.62,-54.4,79.02,78,91,4.47
122,Kendal,GB,2020-08-25 21:40:35,54.33,-2.75,62.01,99,99,3.0
123,Souillac,MU,2020-08-25 21:40:35,-20.52,57.52,68.0,88,75,11.41
124,Sao Joao Da Barra,BR,2020-08-25 21:40:35,-21.64,-41.05,69.8,60,40,13.87
125,Cherskiy,RU,2020-08-25 21:40:35,68.75,161.3,39.15,93,100,3.87
126,Topsham,US,2020-08-25 21:40:36,43.93,-69.98,73.4,94,75,10.02
127,Dinar,TR,2020-08-25 21:40:36,38.06,30.17,71.6,43,0,3.36
128,San Quintin,MX,2020-08-25 21:40:36,30.48,-115.95,77.79,70,13,15.3
129,East London,ZA,2020-08-25 21:40:36,-33.02,27.91,63.46,64,16,19.69
130,Milyutinskaya,RU,2020-08-25 21:40:36,48.63,41.67,67.5,35,0,9.46
131,Husavik,IS,2020-08-25 21:40:36,66.04,-17.34,46.4,75,20,6.93
132,Banepa,NP,2020-08-25 21:40:36,27.63,85.52,73.4,100,75,0.98
133,Dikson,RU,2020-08-25 21:40:37,73.51,80.55,47.77,88,0,6.4
134,Saint-Augustin,CA,2020-08-25 21:40:37,51.23,-58.65,59.22,81,100,14.58
135,Gouyave,GD,2020-08-25 21:40:37,12.16,-61.73,86.0,74,20,17.22
136,Avarua,CK,2020-08-25 21:37:58,-21.21,-159.78,77.0,73,40,10.29
137,Clyde River,CA,2020-08-25 21:40:03,70.47,-68.59,44.53,71,0,7.96
138,Ust-Uda,RU,2020-08-25 21:40:37,54.17,103.03,49.68,89,40,3.09
139,Beloha,MG,2020-08-25 21:40:38,-25.17,45.05,65.61,88,5,3.76
140,Yellowknife,CA,2020-08-25 21:37:18,62.46,-114.35,55.4,100,90,8.05
141,Praia,CV,2020-08-25 21:40:38,14.92,-23.51,82.4,78,20,3.36
142,Vila Franca Do Campo,PT,2020-08-25 21:40:38,37.72,-25.43,73.4,94,40,8.05
143,Broken Hill,AU,2020-08-25 21:40:38,-31.95,141.43,39.2,64,0,4.7
144,Coihaique,CL,2020-08-25 21:40:38,-45.58,-72.07,39.2,80,90,2.24
145,Juneau,US,2020-08-25 21:40:39,58.3,-134.42,55.99,93,90,14.99
146,Hithadhoo,MV,2020-08-25 21:37:49,-0.6,73.08,81.59,76,100,8.46
147,Joshimath,IN,2020-08-25 21:40:39,30.57,79.57,67.53,56,86,1.34
148,Boguchany,RU,2020-08-25 21:40:39,58.38,97.45,51.8,92,29,2.84
149,Pemangkat,ID,2020-08-25 21:40:39,1.17,108.97,77.67,85,84,4.18
150,Nishihara,JP,2020-08-25 21:40:39,26.18,127.76,80.6,94,75,10.29
151,Vrangel,RU,2020-08-25 21:40:40,42.73,133.08,71.15,92,34,3.91
152,Chuy,UY,2020-08-25 21:38:41,-33.7,-53.46,60.8,72,100,11.14
153,Challans,FR,2020-08-25 21:40:40,46.84,-1.87,66.2,82,75,8.05
154,Valparaiso,CL,2020-08-25 21:40:40,-33.04,-71.63,52.0,100,90,8.05
155,Huarmey,PE,2020-08-25 21:40:40,-10.07,-78.15,65.35,72,15,10.38
156,Caravelas,BR,2020-08-25 21:40:40,-17.71,-39.25,69.96,66,3,14.85
157,Alberton,CA,2020-08-25 21:40:41,46.82,-64.07,69.58,88,100,10.67
158,San Jeronimo,PE,2020-08-25 21:38:27,-11.95,-75.28,61.38,42,10,8.39
159,Ponta Delgada,PT,2020-08-25 21:40:41,37.73,-25.67,73.4,94,40,8.05
160,Nelson Bay,AU,2020-08-25 21:40:41,-32.72,152.15,44.01,86,20,10.29
161,Georgetown,MY,2020-08-25 21:40:41,5.41,100.34,78.8,88,20,3.36
162,Akureyri,IS,2020-08-25 21:36:31,65.68,-18.09,46.4,75,20,6.93
163,Bayburt,TR,2020-08-25 21:40:41,40.26,40.23,58.87,46,0,0.58
164,Ulladulla,AU,2020-08-25 21:39:00,-35.35,150.47,42.8,81,0,11.41
165,Coquimbo,CL,2020-08-25 21:39:43,-29.95,-71.34,51.8,93,75,5.82
166,Escanaba,US,2020-08-25 21:40:42,45.75,-87.06,80.6,51,40,10.29
167,Aktau,KZ,2020-08-25 21:40:42,43.65,51.2,60.8,82,0,2.24
168,Prince Rupert,CA,2020-08-25 21:40:42,54.32,-130.32,55.4,93,90,8.05
169,Dingle,PH,2020-08-25 21:40:42,11.0,122.67,75.36,88,99,3.89
170,Tolmezzo,IT,2020-08-25 21:40:42,46.41,13.02,68.0,75,0,1.99
171,Muhororo,UG,2020-08-25 21:40:43,0.94,30.76,62.13,96,35,1.74
172,Srandakan,ID,2020-08-25 21:40:43,-7.94,110.25,74.28,83,78,9.04
173,Talnakh,RU,2020-08-25 21:39:56,69.49,88.4,50.0,87,91,6.71
174,Kuznechikha,RU,2020-08-25 21:40:43,57.22,42.33,58.28,89,82,4.56
175,Necochea,AR,2020-08-25 21:40:43,-38.55,-58.74,55.99,90,100,5.99
176,Lahat,ID,2020-08-25 21:40:44,-3.8,103.53,71.4,66,97,2.89
177,Lodja,CD,2020-08-25 21:40:44,-3.48,23.43,71.83,87,72,0.78
178,Sao Filipe,CV,2020-08-25 21:40:44,14.9,-24.5,79.97,84,17,5.61
179,Namibe,AO,2020-08-25 21:40:42,-15.2,12.15,65.73,83,88,2.98
180,Arlit,NE,2020-08-25 21:40:44,18.74,7.39,87.8,45,67,18.12
181,Kisleta,HU,2020-08-25 21:40:44,47.84,22.0,62.6,93,25,2.24
182,Palmer,US,2020-08-25 21:40:45,42.16,-72.33,84.0,59,24,1.01
183,Fortuna,US,2020-08-25 21:40:05,40.6,-124.16,64.0,77,1,13.87
184,Kollam,IN,2020-08-25 21:36:14,8.88,76.6,82.4,83,20,6.93
185,Chokurdakh,RU,2020-08-25 21:40:45,70.63,147.92,37.65,90,100,4.54
186,Bestobe,KZ,2020-08-25 21:40:45,52.5,73.1,59.0,68,37,12.28
187,Leningradskiy,RU,2020-08-25 21:40:45,69.38,178.42,39.52,91,100,12.77
188,Noyabrsk,RU,2020-08-25 21:40:46,63.2,75.45,48.24,94,0,6.71
189,Moron,AR,2020-08-25 21:36:12,-34.65,-58.62,66.0,88,95,4.0
190,Bathsheba,BB,2020-08-25 21:39:54,13.22,-59.52,86.0,74,40,14.99
191,Olafsvik,IS,2020-08-25 21:38:08,64.89,-23.71,46.9,84,32,6.42
192,Kazerun,IR,2020-08-25 21:40:46,29.62,51.65,75.87,24,0,2.53
193,Inhambane,MZ,2020-08-25 21:40:46,-23.86,35.38,71.15,83,0,14.18
194,Victor Harbor,AU,2020-08-25 21:40:47,-35.57,138.62,53.01,68,15,6.11
195,Narsaq,GL,2020-08-25 21:37:56,60.92,-46.05,53.6,58,0,9.17
196,Yar-Sale,RU,2020-08-25 21:40:47,66.83,70.83,50.45,82,0,6.67
197,Port Elizabeth,ZA,2020-08-25 21:40:44,-33.92,25.57,60.8,82,1,26.4
198,Aklavik,CA,2020-08-25 21:40:47,68.22,-135.01,59.0,72,75,5.82
199,Bredasdorp,ZA,2020-08-25 21:40:47,-34.53,20.04,55.4,87,73,2.24
200,Sokoni,TZ,2020-08-25 21:40:48,-6.43,39.55,76.53,82,0,12.12
201,Maceio,BR,2020-08-25 21:40:48,-9.67,-35.74,71.6,94,90,2.24
202,Adrar,MR,2020-08-25 21:39:53,20.5,-10.07,91.33,36,86,23.76
203,La Huerta,MX,2020-08-25 21:40:48,19.47,-104.65,84.2,83,75,16.11
204,Dullewala,PK,2020-08-25 21:40:48,31.84,71.44,92.7,44,84,12.37
205,Kutum,SD,2020-08-25 21:40:48,14.2,24.67,76.8,62,18,6.58
206,San Felipe,VE,2020-08-25 21:40:49,10.34,-68.74,79.16,86,67,1.41
207,Djambala,CG,2020-08-25 21:40:49,-2.54,14.75,72.82,79,0,2.48
208,Kodiak,US,2020-08-25 21:40:11,57.79,-152.41,58.86,63,92,1.52
209,Kavieng,PG,2020-08-25 21:39:51,-2.57,150.8,82.62,75,1,10.31
210,Qaqortoq,GL,2020-08-25 21:40:49,60.72,-46.03,53.6,58,0,9.17
211,Asau,RO,2020-08-25 21:40:49,46.43,26.4,60.01,99,99,1.48
212,Srednekolymsk,RU,2020-08-25 21:39:04,67.45,153.68,43.05,71,93,3.74
213,Pereslavl-Zalesskiy,RU,2020-08-25 21:40:49,56.74,38.86,57.74,90,84,6.38
214,Fort Nelson,CA,2020-08-25 21:40:50,58.81,-122.7,64.4,48,75,12.75
215,Cidreira,BR,2020-08-25 21:40:50,-30.18,-50.21,62.62,83,0,24.58
216,Airai,TL,2020-08-25 21:40:50,-8.93,125.41,53.98,67,13,5.1
217,Acapulco,MX,2020-08-25 21:39:40,16.86,-99.89,86.0,70,75,5.82
218,Tongchuan,CN,2020-08-25 21:40:50,35.08,109.09,68.32,57,2,2.68
219,La Asuncion,VE,2020-08-25 21:40:50,11.03,-63.86,87.8,66,100,18.34
220,Burnie,AU,2020-08-25 21:40:50,-41.07,145.92,46.99,71,60,11.01
221,Pevek,RU,2020-08-25 21:37:48,69.7,170.31,38.39,98,100,3.11
222,Gimbi,ET,2020-08-25 21:40:51,9.17,35.83,55.85,100,100,2.55
223,Tefe,BR,2020-08-25 21:40:51,-3.35,-64.71,86.0,62,20,5.82
224,Cayenne,GF,2020-08-25 21:38:09,4.93,-52.33,86.0,66,4,9.17
225,Gualaquiza,EC,2020-08-25 21:40:51,-3.4,-78.55,72.99,69,25,3.51
226,Ahuimanu,US,2020-08-25 21:37:58,21.44,-157.84,89.6,62,40,11.41
227,Evensk,RU,2020-08-25 21:40:52,61.95,159.23,48.38,52,0,2.39
228,Sandwick,GB,2020-08-25 21:40:52,60.0,-1.25,53.6,71,57,19.46
229,Sao Felix Do Xingu,BR,2020-08-25 21:40:52,-6.64,-51.99,85.32,44,72,0.76
230,Buraydah,SA,2020-08-25 21:40:52,26.33,43.98,95.0,28,0,6.93
231,Baruun-Urt,MN,2020-08-25 21:40:52,46.68,113.28,51.78,83,39,1.74
232,Sitka,US,2020-08-25 21:40:52,57.05,-135.33,55.4,93,90,3.36
233,Haverfordwest,GB,2020-08-25 21:40:53,51.8,-4.97,62.6,82,18,35.57
234,Sayyan,YE,2020-08-25 21:40:53,15.17,44.32,65.21,58,98,2.84
235,Tooele,US,2020-08-25 21:40:53,40.53,-112.3,91.4,29,1,9.17
236,Haines Junction,CA,2020-08-25 21:39:53,60.75,-137.51,59.16,51,97,6.98
237,La Ronge,CA,2020-08-25 21:40:54,55.1,-105.28,51.8,100,90,6.93
238,Roebourne,AU,2020-08-25 21:38:37,-20.78,117.13,72.95,37,1,4.27
239,Bontang,ID,2020-08-25 21:40:54,0.13,117.5,76.5,87,58,6.71
240,Dongsheng,CN,2020-08-25 21:40:27,39.82,109.98,61.07,61,20,5.03
241,Artesia,US,2020-08-25 21:40:54,33.87,-118.08,93.2,51,1,11.41
242,Verkhnyaya Toyma,RU,2020-08-25 21:40:54,62.23,45.0,51.01,94,51,2.21
243,Lyaskelya,RU,2020-08-25 21:40:54,61.77,31.02,54.45,95,100,3.04
244,Pisco,PE,2020-08-25 21:38:33,-13.7,-76.22,64.4,82,20,20.8
245,Rio Grande,BR,2020-08-25 21:38:56,-32.03,-52.1,66.2,72,93,13.87
246,Kostino,RU,2020-08-25 21:40:55,58.91,53.27,52.59,96,11,5.08
247,Lethem,GY,2020-08-25 21:40:55,3.38,-59.8,79.84,80,100,8.14
248,Kandrian,PG,2020-08-25 21:40:55,-6.22,149.55,79.75,85,36,12.03
249,Bilibino,RU,2020-08-25 21:40:55,68.05,166.44,42.66,84,100,3.29
250,Mount Gambier,AU,2020-08-25 21:40:55,-37.83,140.77,39.2,93,90,5.82
251,Karratha,AU,2020-08-25 21:40:05,-20.74,116.85,71.82,38,2,3.69
252,Aykhal,RU,2020-08-25 21:39:10,66.0,111.5,42.8,69,16,2.24
253,Aitape,PG,2020-08-25 21:40:56,-3.14,142.35,80.08,77,74,4.81
254,Tasiilaq,GL,2020-08-25 21:40:56,65.61,-37.64,41.0,75,0,6.93
255,Los Llanos De Aridane,ES,2020-08-25 21:40:56,28.66,-17.92,81.0,78,20,16.11
256,Auki,SB,2020-08-25 21:40:56,-8.77,160.7,78.03,82,89,4.56
257,Monchique,PT,2020-08-25 21:40:56,37.32,-8.56,63.0,85,0,1.01
258,Colares,PT,2020-08-25 21:40:56,38.8,-9.45,70.0,83,0,23.0
259,Matara,LK,2020-08-25 21:40:57,5.95,80.54,78.49,87,100,5.12
260,San Carlos,VE,2020-08-25 21:40:57,9.66,-68.58,79.38,88,92,1.14
261,Rakaia,NZ,2020-08-25 21:40:57,-43.75,172.02,46.0,29,0,3.0
262,Baherden,TM,2020-08-25 21:40:57,38.44,57.43,70.3,33,8,4.99
263,Kailaras,IN,2020-08-25 21:40:57,26.32,77.62,79.36,81,20,9.57
264,Killybegs,IE,2020-08-25 21:40:57,54.63,-8.45,54.0,97,100,4.0
265,Colwyn Bay,GB,2020-08-25 21:40:57,53.29,-3.73,55.99,100,100,13.0
266,Tautira,PF,2020-08-25 21:40:58,-17.73,-149.15,82.4,65,75,2.24
267,Dabhol,IN,2020-08-25 21:40:58,17.6,73.17,76.08,91,19,3.67
268,Klaksvik,FO,2020-08-25 21:40:58,62.23,-6.59,46.4,75,92,4.7
269,Kaura Namoda,NG,2020-08-25 21:40:58,12.59,6.58,74.55,84,51,9.37
270,Mehamn,NO,2020-08-25 21:40:58,71.04,27.85,48.2,76,75,5.82
271,Waverly,US,2020-08-25 21:38:36,42.74,-84.62,82.4,34,1,9.17
272,Tuktoyaktuk,CA,2020-08-25 21:37:45,69.45,-133.04,48.2,87,90,6.93
273,Touros,BR,2020-08-25 21:39:05,-5.2,-35.46,77.0,83,20,12.75
274,Luderitz,NA,2020-08-25 21:40:59,-26.65,15.16,55.69,80,0,8.19
275,Porosozero,RU,2020-08-25 21:40:59,62.72,32.73,52.21,89,100,2.42
276,Sisimiut,GL,2020-08-25 21:40:59,66.94,-53.67,48.25,76,31,5.59
277,Vardo,NO,2020-08-25 21:40:59,70.37,31.11,48.2,81,3,13.87
